"ID";"Address";"Age";"Introduction";"Name";"Password";"PhoneNumber";"PhotoUrl";"Sex"
"1001";"浙江传媒学院20楼110";21;"认真负责 兢兢业业";"许昌昊";"001";1;1;"女"
"1002";"浙江传媒学院20楼111";22;"认真负责 兢兢业业";"康飒";"002";1;1;"女"
"1003";"浙江传媒学院20楼112";23;"认真负责 兢兢业业";"陈光娜";"003";1;1;"女"
"1004";"浙江传媒学院20楼113";24;"认真负责 兢兢业业";"王贺";"004";1;1;"女"
"1005";"浙江传媒学院20楼114";32;"认真负责 兢兢业业";"高媛";"005";1;1;"女"
"1006";"浙江传媒学院20楼115";24;"认真负责 兢兢业业";"陈帅";"006";1;1;"女"
"1007";"浙江传媒学院20楼116";23;"认真负责 兢兢业业";"王志光";"007";1;1;"女"
"1008";"浙江传媒学院20楼117";14;"认真负责 兢兢业业";"何晓佩";"008";1;1;"女"
"1009";"浙江传媒学院20楼118";52;"工作努力 耐心热情";"李孟顺";"009";1;1;"女"
"1010";"浙江传媒学院20楼119";32;"工作努力 耐心热情";"王俊新";"010";1;1;"男"
"1011";"浙江传媒学院20楼120";42;"工作努力 耐心热情";"魏宸";"011";1;1;"男"
"1012";"浙江传媒学院20楼121";32;"工作努力 耐心热情";"苗兴";"012";1;1;"男"
"1013";"浙江传媒学院20楼122";12;"工作努力 耐心热情";"吴海宁";"013";1;1;"男"
"1014";"浙江传媒学院20楼123";53;"兢兢业业 工作努力";"刘盼";"014";1;1;"男"
"1015";"浙江传媒学院20楼124";64;"兢兢业业 工作努力";"贺少鹏";"015";1;1;"男"
"1016";"浙江传媒学院20楼125";42;"兢兢业业 工作努力";"裴华鹏";"016";1;1;"男"
"1017";"浙江传媒学院20楼126";37;"兢兢业业 工作努力";"李明坤";"017";1;1;"男"
"1018";"浙江传媒学院20楼127";38;"兢兢业业 工作努力";"路文超";"018";1;1;"男"
"1019";"浙江传媒学院20楼128";39;"兢兢业业 工作努力";"宋彤彤";"019";1;1;"男"
"1020";"浙江传媒学院20楼129";27;"兢兢业业 工作努力";"胡晓玉";"020";1;1;"男"
"1021";"浙江传媒学院20楼130";26;"兢兢业业 工作努力";"姜越鹏";"021";1;1;"男"
"1022";"浙江传媒学院20楼131";29;"兢兢业业 工作努力";"李艳普";"022";1;1;"男"
